;id;user;fullname;url;timestamp;replies;likes;retweets;text
2054;1126290701468069888;bt_exchange;Bitcoin Exchange BR;/bt_exchange/status/1126290701468069888;2019-05-08 23:00:03+00;0.0;0.0;0.0;1 BTC = 23855.68666000 BRL em 08/05/2019 ás 22:00:03. #bitcoin #bitcoinbr #bitcoinexchangebr
2101;1126278648758190095;NowBitcoinPrice;Bitcoin Price Now;/NowBitcoinPrice/status/1126278648758190095;2019-05-08 22:12:09+00;0.0;1.0;0.0;May 09, 2019 00:11:00 UTC | 6,037.00$ | 5,391.10€ | 4,640.70£ | #Bitcoin #btc pic.twitter.com/TRTbshkqwF
2120;1126290943458594817;CoinCapsAi;CoinCaps.ai;/CoinCapsAi/status/1126290943458594817;2019-05-08 23:01:01+00;0.0;0.0;0.0;"QNO #Vaultmex Price Alert 
 Time: 2019-05-09 04:01:00
#QNO BTC
 Change:%
#ethereum #cryptocurrencymarket #trading #ltc $QRL #vaultmex
https://vaultmex.com "
6128359;939056969872052230;guguruko;ぐぐる子;/guguruko/status/939056969872052230;2018-12-08 08:00:03+00;0.0;0.0;0.0;こんばんは。#add  bitcoin priceという
6128359;939056969872052230;guguruko;ぐぐる子;/guguruko/status/939056969872052230;2017-12-09 08:00:03+00;0.0;0.0;0.0;こんばんは。#add  bitcoin priceという
2121;1126290824059289601;cryptanalyser;cryptanalyser;/cryptanalyser/status/1126290824059289601;2019-05-08 23:00:32+00;0.0;1.0;1.0;#BTCUSD Market #1H timeframe on  May 9 at 00:00 (UTC)  is #Bullish.  #cryptocurrency #bitcoin #btc #crypto #trading #idea #report technical analysis
2122;1126290905835552768;FeesBitcoin;FeesBitcoin;/FeesBitcoin/status/1126290905835552768;2019-05-08 23:00:52+00;0.0;0.0;0.0;#Bitcoin $6,109.70 v #BitcoinCash $435.62 (BTC/BCH 14.0), Avg Transaction fee for #Bitcoin ~$1.69 v #BitcoinCash ~$0.00 - 2019/05/09 10:00JST
2123;1126290783445716992;jpy;JPY;/jpy/status/1126290783445716992;2019-05-08 23:00:22+00;0.0;0.0;0.0;"USD: 109.930
EUR: 123.020
GBP: 142.997
AUD:  76.764
NZD:  72.323
CNY:  16.205
CHF: 107.701
BTC: 661,404
ETH: 18,780
Thu May 09  10:00 JST"
2124;1126290780212027392;spd_price;スピンドル仮想通貨の価格通知BOT;/spd_price/status/1126290780212027392;2019-05-08 23:00:22+00;0.0;0.0;1.0;"05-09 01:00(GMT)
#SPINDLE price

$SPD (BTC)
Yobit   :0.00000015
HitBTC  :0.00000018
LiveCoin:0.00000012

$SPD (JPY)
Yobit   :0.10
HitBTC  :0.12
LiveCoin:0.08"
2125;1126290712860008450;marketcapbot;MarketCapBOT;/marketcapbot/status/1126290712860008450;2019-05-08 23:00:06+00;0.0;0.0;0.0;" Total Market Cap: $187,693,933,915
 1 BTC: $6,028.50
 BTC Dominance: 56.65%
 Update Time: 09-05-2019 - 04:00:05 (GMT+3)"
